Data,Tipo,Likes,Commenti,Condivisioni,Tema,Reazioni
2025-01-01,img,23000,363,317,FunFact_Italia,Negativa
2025-01-02,img,18300,347,425,Fact_Italia,Negativa
2025-01-02,img,19100,81,357,FunFact_Estero,Positiva
2025-01-03,img,14300,275,113,Fact_Italia,Negativa
2025-01-03,img,22600,358,307,FunFact_Italia,Positiva
2025-01-04,img,28900,110,854,FunFact_Estero,Positiva
2025-01-06,img,34300,1296,1547,Fact_Italia,Negativa
2025-01-07,img,17600,589,419,Fact_Italia,Negativa
2025-01-07,img,16800,198,112,Fact_Italia,Negativa
2025-01-08,img,16000,385,308,Fact_Italia,Negativa
2025-01-08,img,10400,131,31,Fact_Italia,Positiva
2025-01-08,img,22600,582,715,Fact_Estero,Negativa
2025-01-09,img,11100,197,87,Fact_Estero,Negativa
2025-01-09,img,20700,314,133,Fact_Italia,Positiva
2025-01-10,img,20200,438,101,Fact_Italia,Positiva
2025-01-10,img,17700,240,73,Fact_Estero,Positiva
2025-01-11,img,115000,226,1395,FunFact_Estero,Positiva
2025-01-12,img,13400,179,74,Fact_Estero,Positiva
2025-01-13,img,44400,200,849,Fact_Estero,Positiva
2025-01-13,img,20200,171,890,Fact_Italia,Negativa
2025-01-14,img,10800,160,37,Fact_Italia,Negativa
2025-01-14,img,15200,210,400,FunFact,Negativa
2025-01-15,img,15400,416,178,Fact_Italia,Negativa
2025-01-15,carosello,47700,637,1048,Fact_Italia,Negativa
2025-01-16,img,15000,911,444,Fact_Italia,Negativa
2025-01-16,img,9649,314,268,FunFact_Italia,Negativa
2025-01-17,img,30600,882,142,Fact_Italia,Positiva
2025-01-17,img,22700,221,181,FunFact_Estero,Positiva
2025-01-18,img,21800,45,55,FunFact,Positiva
2025-01-19,video,12700,27,132,FunFact_Estero,Positiva
2025-01-20,img,19900,748,1304,Fact_Italia,Negativa
2025-01-20,img,50400,3603,2420,FunFact_Italia,Positiva
2025-01-21,img,25300,925,285,FunFact_Italia,Negativa
2025-01-21,img,11900,237,234,Fact_Italia,Negativa
2025-01-22,img,16700,325,115,Fact_Italia,Negativa
2025-01-22,img,10900,371,67,Fact_Estero,Positiva
2025-01-22,img,16000,184,151,Fact_Italia,Negativa
2025-01-23,carosello,29700,555,622,FunFact,Positiva
2025-01-24,img,12100,228,114,Fact_Italia,Negativa
