Data,Tipo,Likes,Commenti,Condivisioni,Tema,Reazioni
2025-01-01,carosello,2041,3,18,Fact_Italia,Negativa
2025-01-01,video,3381,6,35,FunFact,Positiva
2025-01-01,carosello,7447,32,221,FunFact,Positiva
2025-01-02,carosello,8387,12,333,FunFact,Positiva
2025-02-02,video,3321,170,43,FunFact_Estero,Negativa
2025-01-03,carosello,4426,42,32,Fact_Estero,Negativa
2025-01-03,carosello,26400,803,1788,FunFact,Positiva
2025-01-04,carosello,49700,554,2059,FunFact,Negativa
2025-01-05,video,13600,370,114,FunFact,Positiva
2025-01-05,carosello,8323,136,214,Fact_Italia,Negativa
2025-01-06,carosello,21400,214,632,FunFact,Positiva
2025-01-06,carosello,9054,20,118,FunFact,Positiva
2025-01-07,carosello,34500,684,1052,FunFact,Positiva
2025-01-07,video,21200,599,970,FunFact,Negativa
2025-01-08,carosello,9144,262,344,Fact_Estero,Negativa
2025-02-08,img,22600,153,450,Fact_Italia,Positiva
2025-01-08,img,9838,128,323,FunFact,Positiva
2025-01-09,carosello,13200,49,128,Fact_Italia,Positiva
2025-01-09,video,2610,38,32,FunFact,Negativa
2025-01-10,carosello,4557,139,117,Fact_Italia,Negativa
2025-01-10,carosello,15800,45,131,FunFact,Positiva
2025-01-10,carosello,21200,37,285,FunFact,Positiva
2025-01-11,carosello,3278,39,42,Fact_Estero,Negativa
2025-01-11,carosello,35200,180,215,FunFact,Positiva
2025-01-11,carosello,29000,71,589,FunFact,Positiva
2025-01-12,carosello,21000,40,165,FunFact,Positiva
2025-01-12,carosello,10800,69,179,Fact_Italia,Negativa
2025-01-13,carosello,10700,42,732,FunFact,Positiva
2025-01-13,carosello,4714,4,46,Fact_Estero,Positiva
2025-01-13,carosello,16900,285,524,FunFact,Negativa
2025-01-14,carosello,4180,44,13,Fact_Estero,Negativa
2025-01-14,carosello,9612,120,326,Fact_Estero,Positiva
2025-01-14,carosello,20000,161,161,FunFact_Italia,Positiva
2025-01-15,carosello,10500,251,489,Fact_Estero,Negativa
2025-01-15,carosello,15400,606,188,Fact_Italia,Negativa
2025-01-15,video,1170,50,20,Fact_Italia,Negativa
2025-01-15,carosello,7699,125,271,Fact_Estero,Negativa
2025-01-16,carosello,3977,340,211,Fact_Italia,Negativa
2025-01-16,video,876,8,3,FunFact_Italia,Positiva
2025-01-16,carosello,9692,67,182,FunFact,Positiva
2025-01-17,carosello,4354,8,31,Fact_Estero,Negativa
2025-01-17,video,2319,55,29,FunFact_Italia,Positiva
2025-01-17,carosello,14900,248,129,FunFact_Italia,Positiva
2025-01-17,img,12000,252,360,Fact_Estero,Positiva
2025-01-18,carosello,3458,12,24,Fact_Estero,Negativa
2025-01-18,carosello,26300,407,1264,FunFact_Italia,Positiva
2025-01-18,video,2530,26,11,Fact_Italia,Negativa
2025-01-19,video,43500,635,1845,FunFact_Italia,Negativa
2025-01-19,carosello,6517,70,146,Fact_Italia,Negativa
2025-01-20,carosello,6903,22,137,Fact_Italia,Negativa
2025-01-20,carosello,50300,1063,1526,Fact_Italia,Positiva
2025-01-20,carosello,9389,115,101,Fact_Estero,Positiva
2025-01-21,carosello,15400,445,1223,Fact_Estero,Negativa
2025-01-21,carosello,45500,115,501,FunFact,Positiva
2025-01-21,video,21700,542,903,Fact_Estero,Negativa
2025-01-22,carosello,9312,121,282,Fact_Estero,Negativa
2025-01-22,video,982,5,3,FunFact_Italia,Negativa
2025-01-22,video,4217,143,189,Fact_Estero,Negativa
2025-01-23,carosello,8331,50,218,Fact_Estero,Negativa
2025-01-23,carosello,36200,133,2406,Fact_Italia,Positiva
2025-01-23,video,15300,86,172,FunFact,Positiva
2025-01-24,carosello,11500,667,888,Fact_Italia,Negativa
2025-01-24,carosello,12200,202,116,Fact_Italia,Positiva
2025-01-24,video,7082,152,256,FunFact,Positiva
2025-01-25,carosello,8640,86,393,Fact_Estero,Negativa
2025-01-26,video,5188,217,41,FunFact_Italia,Positiva
2025-01-26,carosello,9992,126,224,Fact_Italia,Negativa
2025-01-27,carosello,8972,43,533,FunFact,Positiva
2025-01-27,carosello,7067,87,512,Fact_Italia,Negativa
2025-01-27,carosello,3886,3,26,Fact_Estero,Negativa
2025-01-28,carosello,3186,21,52,Fact_Estero,Negativa
2025-01-28,carosello,10400,43,121,FunFact,Positiva
2025-01-28,video,3607,111,82,Fact_Estero,Negativa
2025-01-29,carosello,9367,190,205,Fact_Italia,Negativa
2025-01-29,carosello,21100,89,1241,FunFact,Positiva
2025-01-29,video,5727,140,202,Fact_Italia,Negativa
2025-01-30,carosello,5784,19,31,Fact_Italia,Negativa
2025-01-30,carosello,46800,535,2530,FunFact,Positiva
2025-01-30,video,15300,193,70,FunFact,Positiva
2025-01-31,carosello,5935,186,144,Fact_Estero,Negativa
2025-01-31,carosello,16200,139,77,FunFact,Negativa
2025-01-31,carosello,19400,46,100,FunFact,Positiva
2025-02-01,carosello,9686,49,978,Fact_Italia,Negativa
2025-02-01,video,1341,29,35,Fact_Estero,Negativa
2025-02-02,carosello,9058,80,129,FunFact,Negativa
2025-02-02,carosello,6248,55,57,Fact_Italia,Negativa
2025-02-03,carosello,11000,170,262,Fact_Estero,Negativa
2025-02-03,carosello,8801,12,89,Fact_Estero,Negativa
2025-02-04,carosello,5552,293,138,Fact_Estero,Positiva
2025-02-04,video,2615,89,22,Fact_Italia,Negativa
